nct_type,chord_context_compatibility,harmonic_tension_level,chord_type,chord_function,compatibility_rating
mordent,various_contexts,2,minor_major_seventh,dominant,moderate_fit
mordent,various_contexts,2,ninth,dominant,moderate_fit
mordent,various_contexts,2,eleventh,dominant,moderate_fit
mordent,various_contexts,2,thirteenth,dominant,moderate_fit
mordent,various_contexts,2,add9,tonic,excellent_fit
mordent,various_contexts,2,sus2,tonic,excellent_fit
mordent,various_contexts,2,sus4,tonic,excellent_fit
turn,various_contexts,2,major,tonic,excellent_fit
turn,various_contexts,2,minor,tonic,excellent_fit
turn,various_contexts,2,diminished,predominant,moderate_fit
turn,various_contexts,2,augmented,tonic,excellent_fit
turn,various_contexts,2,major_seventh,dominant,moderate_fit
turn,various_contexts,2,minor_seventh,dominant,moderate_fit
turn,various_contexts,2,dominant_seventh,dominant,moderate_fit
turn,various_contexts,2,diminished_seventh,dominant,moderate_fit
turn,various_contexts,2,half_diminished,dominant,moderate_fit
turn,various_contexts,2,minor_major_seventh,dominant,moderate_fit
turn,various_contexts,2,ninth,dominant,moderate_fit
turn,various_contexts,2,eleventh,dominant,moderate_fit
turn,various_contexts,2,thirteenth,dominant,moderate_fit
turn,various_contexts,2,add9,tonic,excellent_fit
turn,various_contexts,2,sus2,tonic,excellent_fit
turn,various_contexts,2,sus4,tonic,excellent_fit
