nct_type,harmonic_impact,dissonance_level,voice_leading_category,chord_type,chord_function,harmonic_context_type
retardation_chain,strong_dissonances,4,other,dominant_seventh,dominant,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,eleventh,dominant,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,half_diminished,dominant,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,major,tonic,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,major_seventh,dominant,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,minor,tonic,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,minor_major_seventh,dominant,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,minor_seventh,dominant,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,ninth,dominant,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,sus2,tonic,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,sus4,tonic,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,thirteenth,dominant,strong_dissonance_context
suspension,strong_dissonance,4,other,add9,tonic,strong_dissonance_context
suspension,strong_dissonance,4,other,augmented,tonic,strong_dissonance_context
suspension,strong_dissonance,4,other,diminished,predominant,strong_dissonance_context
suspension,strong_dissonance,4,other,diminished_seventh,dominant,strong_dissonance_context
suspension,strong_dissonance,4,other,dominant_seventh,dominant,strong_dissonance_context
suspension,strong_dissonance,4,other,eleventh,dominant,strong_dissonance_context
suspension,strong_dissonance,4,other,half_diminished,dominant,strong_dissonance_context
suspension,strong_dissonance,4,other,major,tonic,strong_dissonance_context
suspension,strong_dissonance,4,other,major_seventh,dominant,strong_dissonance_context
suspension,strong_dissonance,4,other,minor,tonic,strong_dissonance_context
suspension,strong_dissonance,4,other,minor_major_seventh,dominant,strong_dissonance_context
suspension,strong_dissonance,4,other,minor_seventh,dominant,strong_dissonance_context
suspension,strong_dissonance,4,other,ninth,dominant,strong_dissonance_context
suspension,strong_dissonance,4,other,sus2,tonic,strong_dissonance_context
suspension,strong_dissonance,4,other,sus4,tonic,strong_dissonance_context
suspension,strong_dissonance,4,other,thirteenth,dominant,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,add9,tonic,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,augmented,tonic,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,diminished,predominant,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,diminished_seventh,dominant,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,dominant_seventh,dominant,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,eleventh,dominant,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,half_diminished,dominant,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,major,tonic,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,major_seventh,dominant,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,minor,tonic,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,minor_major_seventh,dominant,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,minor_seventh,dominant,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,ninth,dominant,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,sus2,tonic,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,sus4,tonic,strong_dissonance_context
suspension_chain,strong_dissonances,4,other,thirteenth,dominant,strong_dissonance_context
turn,brief_dissonances,2,stepwise,add9,tonic,consonant_context
turn,brief_dissonances,2,stepwise,augmented,tonic,consonant_context
turn,brief_dissonances,2,stepwise,diminished,predominant,consonant_context
turn,brief_dissonances,2,stepwise,diminished_seventh,dominant,consonant_context
turn,brief_dissonances,2,stepwise,dominant_seventh,dominant,consonant_context
turn,brief_dissonances,2,stepwise,eleventh,dominant,consonant_context
turn,brief_dissonances,2,stepwise,half_diminished,dominant,consonant_context
turn,brief_dissonances,2,stepwise,major,tonic,consonant_context
turn,brief_dissonances,2,stepwise,major_seventh,dominant,consonant_context
turn,brief_dissonances,2,stepwise,minor,tonic,consonant_context
turn,brief_dissonances,2,stepwise,minor_major_seventh,dominant,consonant_context
turn,brief_dissonances,2,stepwise,minor_seventh,dominant,consonant_context
turn,brief_dissonances,2,stepwise,ninth,dominant,consonant_context
turn,brief_dissonances,2,stepwise,sus2,tonic,consonant_context
turn,brief_dissonances,2,stepwise,sus4,tonic,consonant_context
turn,brief_dissonances,2,stepwise,thirteenth,dominant,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,add9,tonic,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,augmented,tonic,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,diminished,predominant,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,diminished_seventh,dominant,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,dominant_seventh,dominant,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,eleventh,dominant,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,half_diminished,dominant,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,major,tonic,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,major_seventh,dominant,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,minor,tonic,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,minor_major_seventh,dominant,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,minor_seventh,dominant,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,ninth,dominant,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,sus2,tonic,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,sus4,tonic,consonant_context
upper_neighbor,mild_dissonance,2,stepwise,thirteenth,dominant,consonant_context
