term_name,category,definition,detailed_description,examples,related_terms,musical_context
Altered Chord,harmonic_analysis,Chord with chromatically modified extensions,"Harmony where the natural extensions (9th, 11th, 13th) are raised or lowered by a half-step to create increased tension and harmonic color.","G7alt: G-B-F with b9, #9, #11, b13","chromatic_alteration,tension,dominant_harmony",Advanced jazz harmony technique for increased harmonic sophistication
Extended Chord,harmonic_analysis,"Chord including 9th, 11th, and/or 13th intervals","Harmonic structure that goes beyond the basic triad and seventh chord to include upper extensions, creating richer harmonic color and complexity.","Cmaj13: C-E-G-B-D-F-A (includes 9th, 11th, 13th)","upper_extensions,jazz_harmony,chord_extensions",Advanced harmonic concept essential for jazz and contemporary music
Harmonic Density,harmonic_analysis,Amount of harmonic information in a given time span,"Measurement of how much harmonic complexity exists within a musical passage, considering both note quantity and harmonic sophistication.","Dense: many complex chords; Sparse: simple, few chords","harmonic_complexity,texture,arrangement",Important concept for balancing musical complexity and clarity
Harmonic Function Analysis,harmonic_analysis,Method of understanding chord roles within tonal context,"Analytical approach that examines how chords function within a key, identifying their roles as tonic, predominant, or dominant functions.",Roman numeral analysis: I-vi-IV-V progression,"functional_harmony,roman_numerals,tonal_analysis",Fundamental analytical tool for understanding tonal harmonic progression
Harmonic Rhythm,harmonic_analysis,Rate of chord change in musical time,"The pacing of harmonic changes throughout a musical phrase or section. Affects musical tension, flow, and structural perception.",Fast harmonic rhythm: chord per beat; Slow: chord per measure,"chord_progression,musical_time,harmonic_pacing",Fundamental concept for understanding musical structure and flow
Resolution Tendency,harmonic_analysis,Natural inclination of notes or chords to move to specific targets,"Inherent directional pull that certain notes or harmonies have toward specific resolution points, fundamental to tonal music and voice leading.","Leading tone resolves up to tonic, dominant resolves to tonic","tendency_tone,harmonic_function,tonal_gravity",Core principle underlying tonal harmony and melodic direction
Substitute Chord,harmonic_analysis,Chord that replaces expected harmony while maintaining function,"Harmonic substitution where a different chord fulfills the same functional role as the expected harmony, adding harmonic interest and sophistication.",Tritone substitution: Db7 for G7 in key of C,"harmonic_function,chord_substitution,functional_harmony",Key concept for harmonic reharmonization and jazz progression
Voice Leading Analysis,harmonic_analysis,Examination of individual voice movement through chord progressions,"Detailed study of how each voice moves from chord to chord, analyzing the quality of motion, resolution of tendencies, and overall contrapuntal writing.","Tracking soprano, alto, tenor, bass through progression","counterpoint,voice_independence,melodic_analysis",Essential analytical technique for understanding harmonic craftsmanship
acceleration deceleration,harmonic_rhythm_info,"Changes in harmonic rhythm speed, where chord changes become faster (acceleration) or slower (deceleration), affecting musical momentum and tension.",,,,
chord change frequency,harmonic_rhythm_info,"The rate at which harmonic progressions occur in music, measured in changes per beat, measure, or time unit, affecting the music's rhythmic drive.",,,,
harmonic cadence timing,harmonic_rhythm_info,The specific rhythmic placement and duration of cadential chord progressions within the metric structure.,,,,
metric placement,harmonic_rhythm_info,"The specific position of non-chord tones within the beat structure, affecting their rhythmic impact and resolution.",,,,
rhythm pattern,harmonic_rhythm_info,The specific arrangement of chord changes within metric and temporal structures.,,,,
strong beat emphasis,harmonic_rhythm_info,The accentuation of primary beats in metric patterns through harmonic rhythm placement.,,,,
Enharmonic,harmony,Notes that sound the same but are spelled differently,Critical for vein technique and harmonic recontextualization in Stratum2.,"F# and Gb, C# and Db","vein,chromaticism,modulation",Harmonic recontextualization
Voice Leading,harmony,The practice of writing musical lines that interact harmonically and move smoothly,Focuses on the linear progression of individual voices and how they create harmonic progressions. Central to Stratum2's composition approach.,Bass moving C-F-G while soprano moves E-F-D,"counterpoint,harmony,line",Linear movement in polyphonic texture
Altered Dominant Chord,harmony_and_chords,"A dominant chord with one or more altered extensions (♭9, ♯9, ♯11, ♭13), creating increased harmonic tension and color, commonly used in jazz and contemporary music.",,,,
Augmented Sixth Chord,harmony_and_chords,"A pre-dominant chord containing an augmented sixth interval above the bass, creating strong voice-leading toward the dominant. Common types include Italian, French, and German sixth chords.",,,,
Block Chord,harmony_and_chords,"A chord where all notes sound simultaneously with minimal voice leading between chords, creating a dense, homophonic texture often used in jazz and gospel music.",,,,
Borrowed Chord,harmony_and_chords,"A chord taken from the parallel major or minor key, temporarily introducing notes outside the prevailing key for harmonic color and emotional effect.",,,,
Cadential Six Four,harmony_and_chords,"A specific use of the second inversion tonic chord (I⁶⁴) that appears on a strong beat before resolving to the dominant, creating strong harmonic momentum toward resolution.",,,,
Chord Symbol,harmony_and_chords,"A system of notation using letters, numbers, and symbols to represent chords (e.g., Cmaj7, F♯dim, Am), commonly used in jazz, popular music, and lead sheets.",,,,
Chromatic,harmony_and_chords,"Referring to pitches or harmony that uses notes outside the prevailing diatonic scale, incorporating all twelve pitch classes for increased harmonic sophistication.",,,,
Chromatic Sequence,harmony_and_chords,"A sequence where the harmonic pattern is repeated at successively higher or lower chromatic intervals, creating smooth voice leading through chromatic motion.",,,,
Circle Of Fifths,harmony_and_chords,"A visual representation of key relationships where keys are arranged by ascending perfect fifths, showing the pattern of sharps and flats and key relationships.",,,,
Clustered Voicing,harmony_and_chords,"A chord voicing where notes are arranged in close proximity, typically within an octave, creating dense harmonic texture and potential dissonance.",,,,
Diminished Seventh Chord,harmony_and_chords,"A symmetrical chord built from stacked minor thirds (1-♭3-♭5-♭♭7), creating a highly unstable sound that can resolve to multiple destinations.",,,,
Dominant,harmony_and_chords,"The fifth degree of a scale or the chord built on that degree, creating strong harmonic pull toward the tonic and serving as the primary tension-generating function in tonal music.",,,,
Doubly Chromatic Mediant,harmony_and_chords,"A chromatic mediant relationship where both the root and the third of the chord are chromatically altered, creating distant but colorful harmonic connections.",,,,
Functional Harmony,harmony_and_chords,"A harmonic system where chords are understood in terms of their function (tonic, predominant, dominant) rather than just their individual sound, governing traditional voice leading.",,,,
Guide Tones,harmony_and_chords,"The 3rd and 7th of a chord, which define its quality and harmonic function, serving as the most important notes for establishing chord identity in jazz harmony.",,,,
Harmonic Design,harmony_and_chords,"The overall plan or architecture of harmonic progressions in a musical work, encompassing key relationships, chord functions, and harmonic rhythm.",,,,
Harmonic Progression,harmony_and_chords,"A succession of chords that creates forward motion and harmonic logic, following principles of voice leading and functional relationships.",,,,
Harmonic Transformation,harmony_and_chords,"The process of altering chords through techniques such as mode mixture, chromatic substitution, or enharmonic reinterpretation to create harmonic variety.",,,,
ii V I Progression,harmony_and_chords,"The fundamental harmonic progression in jazz and tonal music, moving from supertonic to dominant to tonic, creating strong harmonic motion and resolution.",,,,
Leading Tone,harmony_and_chords,"The seventh degree of a major scale or the raised seventh degree of a minor scale, creating strong melodic pull toward the tonic due to the half-step resolution.",,,,
Mediant,harmony_and_chords,"The third degree of a scale or chords built on pitches a third away from the tonic, creating colorful harmonic relationships through major and minor third motion.",,,,
Minor Major Seventh Chord,harmony_and_chords,"A chord combining a minor triad with a major seventh (1-♭3-5-7), creating a distinctive bittersweet sound often used in jazz and contemporary music.",,,,
Modal Interchange,harmony_and_chords,"The borrowing of chords from parallel modes, particularly from the minor mode in major keys, to create harmonic color and emotional variety.",,,,
Multi Modal,harmony_and_chords,"Music that employs multiple modes simultaneously or in quick succession, creating complex tonal relationships and avoiding traditional major/minor dichotomy.",,,,
Neapolitan Chord,harmony_and_chords,"A major chord built on the lowered second degree of the scale (♭II), traditionally used in first inversion as a distinctive pre-dominant harmony.",,,,
Open Voicing,harmony_and_chords,"A chord voicing where notes are spread across multiple octaves, creating spacious texture and clear separation between chord tones.",,,,
Picardy Third,harmony_and_chords,"The practice of ending a piece in a minor key with a major tonic chord, created by raising the third of the final chord for a brighter conclusion.",,,,
Pivot Chord,harmony_and_chords,"A chord that functions in both the old and new keys during modulation, serving as the harmonic bridge between different tonal areas.",,,,
Poly Chords,harmony_and_chords,"Two or more chords sounded simultaneously, creating complex harmonic structures and dense textures, often notated as one chord over another (e.g., C/D).",,,,
Power Chord,harmony_and_chords,"A chord consisting of only the root and fifth (sometimes doubled at the octave), commonly used in rock music for its strong, aggressive sound without major/minor ambiguity.",,,,
Predominant,harmony_and_chords,"A harmonic function that prepares and leads to the dominant, typically including ii, IV, and vi chords in major keys, creating harmonic motion away from tonic.",,,,
Quartal,harmony_and_chords,"Harmony built on fourth intervals rather than thirds, creating open, modern sounds common in jazz and contemporary classical music.",,,,
Quintal,harmony_and_chords,"Harmony built on fifth intervals, creating very open, hollow sounds often used in modern composition for spacious, ethereal effects.",,,,
Reharmonization,harmony_and_chords,"The process of providing new chord progressions for existing melodies, creating fresh harmonic perspectives while maintaining melodic integrity.",,,,
Roman Numeral Analysis,harmony_and_chords,"A system for analyzing harmony using Roman numerals to represent chord scale degrees and their functions within a key, with upper case for major and lower case for minor.",,,,
Secondary Dominant,harmony_and_chords,"A dominant chord of a scale degree other than the tonic (e.g., V/V), temporarily tonicizing other notes and creating harmonic variety within a key.",,,,
Slash Chord,harmony_and_chords,"A chord with a specific bass note other than the root, notated with a slash (e.g., C/E), creating inversions or polychords for specific voice leading.",,,,
Subdominant,harmony_and_chords,"The fourth degree of a scale or chord built on that degree, serving a predominant function and providing harmonic contrast to the tonic.",,,,
Submediant,harmony_and_chords,"The sixth degree of a scale, often serving as a deceptive resolution target or providing gentle harmonic motion away from tonic.",,,,
Subtonic,harmony_and_chords,"The lowered seventh degree of a scale, particularly common in modal music and creating different harmonic possibilities than the leading tone.",,,,
Supertonic,harmony_and_chords,"The second degree of a scale, commonly serving predominant harmonic function and frequently appearing as a ii chord in major keys.",,,,
Tertiary Harmony,harmony_and_chords,"Harmony based on third relationships, the foundation of traditional Western tonal music, where chords are built by stacking thirds.",,,,
Tonal Planing,harmony_and_chords,"The parallel motion of chords maintaining their internal structure while moving as blocks, common in impressionist and contemporary music.",,,,
Tonic,harmony_and_chords,"The first degree of a scale and the chord built on that degree, serving as the point of rest and resolution in tonal music.",,,,
Triad,harmony_and_chords,"A three-note chord built by stacking thirds, forming the basic building blocks of Western harmony in major, minor, augmented, and diminished qualities.",,,,
Tritone Substitution,harmony_and_chords,"The replacement of a dominant chord with another dominant chord a tritone away, maintaining the same guide tones while creating smooth bass motion.",,,,
Upper Structure Triad,harmony_and_chords,"A triad built from the upper extensions of a chord (typically from the 9th, 11th, or 13th), creating sophisticated harmonic colors in jazz.",,,,
Voicing,harmony_and_chords,"The specific arrangement and spacing of notes within a chord, affecting the sonority, register, and character of the harmony.",,,,
Alto,instruments_and_ranges,"The lower female voice type or the middle range of instruments, typically covering the range between soprano and tenor.",,,,
Baritone,instruments_and_ranges,"A male voice type between tenor and bass, or instruments covering the corresponding range.",,,,
Bass,instruments_and_ranges,"The lowest male voice type or the lowest range of instruments, providing harmonic foundation.",,,,
Brass,instruments_and_ranges,"A family of wind instruments made of brass or similar metal, including trumpet, horn, trombone, and tuba.",,,,
Contralto,instruments_and_ranges,"The lowest female voice type, with a rich, dark timbre in the lower range of female voices.",,,,
Double Bass,instruments_and_ranges,"The largest and lowest-pitched string instrument in common use, providing the bass foundation in orchestras and ensembles.",,,,
Keyboards,instruments_and_ranges,"Instruments played with a keyboard interface, including piano, organ, harpsichord, and electronic keyboards.",,,,
Mallets,instruments_and_ranges,"Percussion instruments played with mallets, including xylophone, marimba, vibraphone, and glockenspiel.",,,,
Mezzo Soprano,instruments_and_ranges,"A female voice type between soprano and alto, with a rich middle range.",,,,
Soprano,instruments_and_ranges,The highest female voice type or the highest range of instruments in a family.,,,,
Strings,instruments_and_ranges,"A family of instruments that produce sound through vibrating strings, including violin, viola, cello, and double bass.",,,,
Tenor,instruments_and_ranges,The highest common male voice type or the corresponding instrumental range.,,,,
Voice,instruments_and_ranges,"The human vocal instrument, classified into soprano, alto, tenor, and bass ranges.",,,,
Woodwinds,instruments_and_ranges,"A family of wind instruments including flute, oboe, clarinet, and bassoon, originally made of wood.",,,,
Coda,"markers,_repeats_and_navigation","A concluding section of a piece, often indicated by the symbol ⊕ and reached through specific navigation instructions.",,,,
Da Capo,"markers,_repeats_and_navigation","An instruction (D.C.) to return to the beginning of the piece and play until the end or until ""Fine.""",,,,
Dal Segno Al Fine,"markers,_repeats_and_navigation","An instruction (D.S. al Fine) to return to the sign (𝄋) and play until the ""Fine"" marking.",,,,
Dal Segno Alla Coda,"markers,_repeats_and_navigation","An instruction (D.S. al Coda) to return to the sign and play until ""To Coda,"" then jump to the Coda section.",,,,
Dal Segno Segno Al Fine,"markers,_repeats_and_navigation",A navigation instruction involving return to a specific segno sign and playing until Fine.,,,,
Dal Segno Segno Alla Coda,"markers,_repeats_and_navigation",A navigation instruction involving return to a specific segno sign and jumping to Coda.,,,,
Del Segno,"markers,_repeats_and_navigation","Another form of segno instruction, indicating a return point in musical navigation.",,,,
Fine,"markers,_repeats_and_navigation","An Italian word meaning ""end,"" marking the conclusion of a piece or section.",,,,
Repeat,"markers,_repeats_and_navigation","Instructions to replay specific sections of music, indicated by repeat signs (𝄆 𝄇) or written directions.",,,,
Segno,"markers,_repeats_and_navigation",A sign (𝄋) used in musical navigation to mark a specific point for returns in Da Capo and Dal Segno instructions.,,,,
Arpeggiation,melodic_and_textural,"The technique of playing chord tones in succession rather than simultaneously, creating flowing melodic lines from harmonic structures.",,,,
Arpeggio,melodic_and_textural,"A chord played with notes sounded in succession rather than simultaneously, from the Italian ""harp-like.""",,,,
Atmosphere,melodic_and_textural,"The overall mood, character, or emotional environment created by musical texture, harmony, and orchestration.",,,,
Bass Line,melodic_and_textural,"The lowest melodic line in a musical texture, providing harmonic foundation and rhythmic drive.",,,,
Homophony,melodic_and_textural,"A musical texture featuring a prominent melody supported by chordal accompaniment, characteristic of much classical and popular music.",,,,
Melodic Phrase,melodic_and_textural,"A complete musical thought or statement, typically 2-8 measures long, forming the basic unit of melodic construction.",,,,
Melody,melodic_and_textural,"A succession of musical tones perceived as a single entity, the horizontal aspect of music that carries the main musical idea.",,,,
Ostinato,melodic_and_textural,"A persistently repeated musical phrase or rhythm, providing structural foundation while other elements vary above it.",,,,
Polyphony,melodic_and_textural,"Musical texture consisting of multiple independent melodic lines sounding simultaneously, each maintaining its own character.",,,,
Riff,melodic_and_textural,"A repeated melodic, harmonic, or rhythmic pattern that serves as the main accompaniment or foundation of a musical composition.",,,,
Texture,melodic_and_textural,"The way multiple musical lines interact and relate to each other, including monophonic, homophonic, and polyphonic textures.",,,,
Walking Bass,melodic_and_textural,"A bass line style that moves in steady quarter notes, typically stepwise, commonly used in jazz and swing music.",,,,
Break,miscellaneous_/_utility,"A section where certain instruments or elements drop out, creating contrast and rhythmic interest.",,,,
Crossfade,miscellaneous_/_utility,A smooth transition between two audio signals where one fades out as the other fades in.,,,,
Cut Time,miscellaneous_/_utility,"A time signature (𝄵) equivalent to 2/2, where the half note gets the beat instead of the quarter note.",,,,
Decibel,miscellaneous_/_utility,"The standard unit for measuring sound intensity, voltage levels, and power ratios in audio systems.",,,,
Doubling,miscellaneous_/_utility,The practice of recording the same part multiple times or using multiple instruments for thickness and richness.,,,,
Downtempo,miscellaneous_/_utility,"A genre or style characterized by slower tempos and relaxed rhythmic feel, often electronic.",,,,
Genre,miscellaneous_/_utility,"A category or style of music characterized by particular forms, techniques, and cultural contexts.",,,,
Mic,miscellaneous_/_utility,Microphone - a transducer that converts acoustic energy into electrical signals for recording or amplification.,,,,
Monitor,miscellaneous_/_utility,"Speakers or headphones used for listening during recording, mixing, or performance.",,,,
Mute,miscellaneous_/_utility,"To silence a track, channel, or signal, either temporarily or permanently.",,,,
Pan Left,miscellaneous_/_utility,To position a sound toward the left side of the stereo field.,,,,
Pan Right,miscellaneous_/_utility,To position a sound toward the right side of the stereo field.,,,,
Ruler,miscellaneous_/_utility,"A visual timeline reference showing measures, beats, and timing information in a DAW.",,,,
Signal,miscellaneous_/_utility,"An electrical representation of audio information, flowing through cables, circuits, or software.",,,,
Spatial,miscellaneous_/_utility,Relating to the positioning and movement of sounds in three-dimensional space.,,,,
Spread,miscellaneous_/_utility,The width or distribution of sounds across the stereo or surround sound field.,,,,
Unison,miscellaneous_/_utility,Multiple voices or instruments playing the same pitches simultaneously.,,,,
Uptempo,miscellaneous_/_utility,Music characterized by fast tempo and energetic rhythmic feel.,,,,
Vamp,miscellaneous_/_utility,"A repeating section, often used for improvisation or to extend a song dynamically.",,,,
Wall Of Sound,miscellaneous_/_utility,"A production technique creating dense, layered audio textures with multiple instruments and effects.",,,,
Aeolian,modes_and_scales,"The natural minor scale, the sixth mode of the major scale, characterized by the interval pattern W-H-W-W-H-W-W and creating a somber, melancholic character.",,,,
Altered Scale,modes_and_scales,"A seven-note scale (1-♭2-♯2-3-♯4-♯5-♭7) derived from the seventh mode of melodic minor, used over altered dominant chords in jazz for maximum harmonic tension.",,,,
Bee Bop,modes_and_scales,"Scales that add chromatic passing tones to traditional scales, particularly the dominant bebop scale (mixolydian with added major 7th) used in jazz improvisation.",,,,
Byzantine,modes_and_scales,"A modal scale with augmented second intervals, characterized by exotic, Middle Eastern flavor, commonly used in Eastern European and Mediterranean music.",,,,
Dorian,modes_and_scales,"The second mode of the major scale, characterized by a minor third and major sixth, creating a sophisticated minor sound brighter than natural minor.",,,,
Dorian Flat Two,modes_and_scales,"A mode with a lowered second degree compared to Dorian mode, creating a more exotic, Eastern flavor with increased harmonic color.",,,,
Enigmatic,modes_and_scales,"An unusual eight-note scale (1-♭2-3-♯4-♯5-♯6-7-8) creating mysterious, unresolved harmonic character, rarely used but harmonically distinctive.",,,,
Ionian,modes_and_scales,"The major scale, the first mode of the major scale system, characterized by the interval pattern W-W-H-W-W-W-H and serving as the foundation of Western tonality.",,,,
Locrian,modes_and_scales,"The seventh mode of the major scale, characterized by a diminished fifth, creating an unstable, unresolved character rarely used as a tonal center.",,,,
Lydian,modes_and_scales,"The fourth mode of the major scale, characterized by a raised fourth degree, creating a bright, ethereal sound often described as dreamy or floating.",,,,
Lydian Dominant,modes_and_scales,"A scale combining Lydian mode with a minor seventh (1-2-3-♯4-5-6-♭7), commonly used over dominant chords with sharp eleven extensions.",,,,
Mixolydian,modes_and_scales,"The fifth mode of the major scale, characterized by a minor seventh, creating the sound of dominant chords and common in folk and rock music.",,,,
Mixolydian Flat Six,modes_and_scales,"Mixolydian mode with a lowered sixth degree, creating additional harmonic color and tension in dominant chord contexts.",,,,
Mixolydian Flat Two,modes_and_scales,"Mixolydian mode with a lowered second degree, creating exotic harmonic color often used in jazz and world music.",,,,
Phrygian,modes_and_scales,"The third mode of the major scale, characterized by a minor second and minor third, creating a dark, Spanish or Arabic flavor.",,,,
Phrygian Dominant,modes_and_scales,"A mode with a major third over a Phrygian foundation (1-♭2-3-4-5-♭6-♭7), creating distinctive Middle Eastern or Spanish character.",,,,
Super Locrian,modes_and_scales,"Another name for the altered scale, emphasizing its relationship to Locrian mode but with additional alterations creating maximum harmonic tension.",,,,
aesthetic sophistication,movement_patterns,"The level of artistic refinement and complexity in musical movement patterns, encompassing subtlety, elegance, and intellectual appeal.",,,,
emotional continuity,movement_patterns,"The smooth flow of emotional content through movement patterns, maintaining logical emotional progression.",,,,
emotional impact intensity,movement_patterns,The strength or power of emotional response that specific movement patterns can evoke in listeners.,,,,
genre suitability score,movement_patterns,A numerical rating of how well movement patterns fit within the conventions of specific musical genres.,,,,
harmonic transition,movement_patterns,The process of moving between different harmonic areas or chord progressions within movement patterns.,,,,
listener comfort,movement_patterns,The degree of ease and familiarity that audiences experience with specific movement patterns.,,,,
listener fatigue factor,movement_patterns,The potential for movement patterns to cause tiredness or overwhelm through excessive complexity or repetition.,,,,
melodic contour,movement_patterns,"The shape and direction of melodic lines within movement patterns, including ascending, descending, and undulating motions.",,,,
memorability factor,movement_patterns,"The likelihood that movement patterns will be retained in listener memory, influenced by repetition, uniqueness, and emotional impact.",,,,
movement type,movement_patterns,"The category of melodic or harmonic motion, such as stepwise, leaping, chromatic, or static movement.",,,,
narrative flow,movement_patterns,The logical progression and storytelling quality of movement patterns in musical development.,,,,
performer difficulty,movement_patterns,The technical and interpretive challenges that movement patterns present to musicians.,,,,
physical gesture analogy,movement_patterns,"The comparison of movement patterns to bodily motions, helping to understand their kinetic quality.",,,,
psychological effect,movement_patterns,The mental and emotional impact that movement patterns have on listener consciousness.,,,,
surprise factor,movement_patterns,The degree of unexpectedness or deviation from norms in movement patterns.,,,,
duration characteristics,non_chord_tone_info,"The typical length and rhythmic placement patterns of non-chord tones, affecting their harmonic impact and melodic flow.",,,,
harmonic impact,non_chord_tone_info,The effect that non-chord tones have on the overall harmonic character and progression of music.,,,,
melodic function,non_chord_tone_info,"The role that non-chord tones play in melodic line construction, including passing, neighbor, escape, and appoggiatura functions.",,,,
nct type,non_chord_tone_info,"The specific category of non-chord tone, such as passing tone, neighbor tone, suspension, appoggiatura, or escape tone.",,,,
preparation method,non_chord_tone_info,The specific way that non-chord tones are approached or set up melodically.,,,,
resolution pattern,non_chord_tone_info,The specific melodic pathway that non-chord tones follow when moving to chord tones.,,,,
Accidental,notation_and_score,"A musical symbol (♯, ♭, ♮) that raises, lowers, or cancels the alteration of a note, applying only within the measure where it appears.",,,,
Bar,notation_and_score,"A segment of music defined by vertical bar lines, containing a specific number of beats as indicated by the time signature.",,,,
Bar Line,notation_and_score,"Vertical lines on the staff that divide music into measures, organizing rhythm and meter visually.",,,,
Brace,notation_and_score,"A curved line connecting two or more staves that are to be played simultaneously, typically used for piano music.",,,,
Bracket,notation_and_score,"A straight line connecting staves of related instruments in a score, showing which parts belong to instrument families.",,,,
Double Bar Line,notation_and_score,"Two vertical lines indicating the end of a section or piece, or a significant structural division in the music.",,,,
First Level Analysis,notation_and_score,"The initial layer of harmonic analysis, typically involving Roman numeral identification of basic chord functions.",,,,
First Tonal Area,notation_and_score,"The initial key area in a musical form, establishing the primary tonal center before modulation or development.",,,,
Flat,notation_and_score,"An accidental (♭) that lowers a note by a half step, or describes keys and scales with flat note names.",,,,
Grand Staff,notation_and_score,"The combination of treble and bass clef staves connected by a brace, standard notation for keyboard music.",,,,
Ledger Line,notation_and_score,Short lines added above or below the staff to accommodate notes outside the staff's normal range.,,,,
Lyric,notation_and_score,"The words or text of a song, or relating to expressive, song-like musical character.",,,,
Measure,notation_and_score,Another term for bar - a rhythmic unit containing a specified number of beats as defined by the time signature.,,,,
Natural,notation_and_score,"An accidental (♮) that cancels a previous sharp or flat, returning the note to its unaltered pitch.",,,,
Note,notation_and_score,"A symbol representing a musical sound with specific pitch and duration, the basic building block of musical notation.",,,,
Portamento,notation_and_score,"A smooth, continuous glide between two pitches, creating a sliding effect rather than discrete note changes.",,,,
Register,notation_and_score,"A specific range of pitches, typically associated with particular instruments or voice types.",,,,
Rest,notation_and_score,"A symbol indicating silence for a specific duration, the rhythmic equivalent of notes but representing absence of sound.",,,,
Reversal,notation_and_score,A compositional technique where musical material is presented in reverse order or with inverted intervals.,,,,
Score,notation_and_score,"The written notation of a musical composition, showing all parts arranged vertically for simultaneous reading.",,,,
Second Level Analysis,notation_and_score,"Advanced harmonic analysis involving more complex relationships, secondary functions, and structural understanding.",,,,
Second Tonal Area,notation_and_score,"A contrasting key area in musical forms, typically reached through modulation from the first tonal area.",,,,
Sharp,notation_and_score,"An accidental (♯) that raises a note by a half step, or describes keys and scales with sharp note names.",,,,
Slur,notation_and_score,A curved line connecting notes to be played smoothly (legato) or to indicate phrasing and articulation.,,,,
Text,notation_and_score,"Written words in vocal music, or textual annotations and directions in musical scores.",,,,
Tie,notation_and_score,"A curved line connecting two notes of the same pitch, combining their durations into a single sustained sound.",,,,
Dotted Note,note_values_and_rhythm_symbols,"A note with a dot placed after it, increasing its duration by half its original value.",,,,
Eighth Note,note_values_and_rhythm_symbols,"A note value equal to one-eighth of a whole note, typically representing one half of a beat in common time.",,,,
Eighth Note Triplet,note_values_and_rhythm_symbols,"Three eighth notes played in the time normally occupied by two eighth notes, creating a three-against-two rhythm.",,,,
Half Note,note_values_and_rhythm_symbols,"A note value equal to half of a whole note, typically representing two beats in common time signatures.",,,,
Nudge,note_values_and_rhythm_symbols,"A slight rhythmic displacement or micro-timing adjustment, often used in contemporary music production.",,,,
Quarter Note,note_values_and_rhythm_symbols,"A note value equal to one-quarter of a whole note, typically representing one beat in common time signatures.",,,,
Quarter Note Triplet,note_values_and_rhythm_symbols,Three quarter notes played in the time normally occupied by two quarter notes.,,,,
Sixteenth Note,note_values_and_rhythm_symbols,"A note value equal to one-sixteenth of a whole note, typically representing one-quarter of a beat in common time.",,,,
Thirty Second Note,note_values_and_rhythm_symbols,"A note value equal to one thirty-second of a whole note, used for very rapid passages.",,,,
Tick,note_values_and_rhythm_symbols,"The smallest unit of timing in digital music systems, used for precise rhythmic positioning in sequencers and DAWs.",,,,
Whole Note,note_values_and_rhythm_symbols,"A note value representing the longest common duration, typically equal to four beats in 4/4 time.",,,,
Clap,percussion_and_groove_elements,"A percussive sound created by striking hands together, often used as a rhythmic element in various musical styles.",,,,
Closed Hat,percussion_and_groove_elements,"A hi-hat cymbal sound produced when the cymbals are pressed together, creating a tight, crisp percussive sound.",,,,
Four On The Floor,percussion_and_groove_elements,"A rhythm pattern with a steady kick drum on every beat in 4/4 time, fundamental to disco, house, and electronic dance music.",,,,
Kick,percussion_and_groove_elements,"The bass drum or kick drum, providing the fundamental low-frequency rhythmic pulse in most contemporary music.",,,,
Open Hat,percussion_and_groove_elements,"A hi-hat cymbal sound produced when the cymbals are separated, creating a sustained, shimmering sound.",,,,
Percussion,percussion_and_groove_elements,"Instruments that produce sound when struck, shaken, or scraped, including drums, cymbals, tambourines, and many others.",,,,
Ride,percussion_and_groove_elements,"A large cymbal used to maintain steady rhythmic patterns, particularly important in jazz drumming.",,,,
Shaker,percussion_and_groove_elements,A percussion instrument containing small objects that create sound when the instrument is shaken.,,,,
Snare,percussion_and_groove_elements,"A drum with metal wires (snares) stretched across the bottom head, creating a sharp, crisp sound essential to most rhythm sections.",,,,
Comping Pattern,performance_practice,Rhythmic and harmonic accompaniment style,"Specific rhythmic and harmonic approach to accompaniment, especially in jazz piano and guitar, that provides harmonic foundation while maintaining musical interest.",Jazz piano left hand patterns with syncopated chords,"accompaniment,rhythm,harmonic_support",Essential skill for rhythm section instruments in ensemble playing
Ensemble Balance,performance_practice,Proper distribution of musical elements across performers,The art of arranging voices and parts so that all elements can be heard clearly and contribute appropriately to the overall musical texture and effect.,"Ensuring melody projects over accompaniment, balancing sections","orchestration,arrangement,musical_texture",Crucial skill for effective ensemble writing and direction
Idiomatic Voicing,performance_practice,Voicing suited to specific instrument's capabilities,"Approach to harmony that takes advantage of an instrument's unique capabilities and sounds natural for that instrument, enhancing both playability and musical effect.","Piano voicing using both hands effectively, guitar voicing using open strings","instrument_technique,playability,musical_effectiveness",Essential skill for effective arrangement and composition
Bass Register,register,Lowest voice providing harmonic foundation,"The foundation voice in harmonic writing, typically providing the root of chords and establishing the harmonic rhythm and functional progression.",Approximate range: E2 to E4 in vocal writing,"harmonic_foundation,root_motion,harmonic_function",Structural voice that establishes harmonic stability and progression
Soprano Register,register,Highest vocal/instrumental range in four-part writing,"The uppermost voice in traditional four-part harmony, typically carrying the melody and operating in the highest comfortable range for the ensemble.",Approximate range: C4 to C6 in vocal writing,"voice_leading,four_part_harmony,melodic_line",Primary melodic voice in traditional harmonic writing
Accelerando,rhythm_and_meter,"A gradual increase in tempo, indicated in musical notation and used to create forward momentum and excitement in musical performance.",,,,
Adagio,rhythm_and_meter,"A slow tempo marking, typically between 66-76 beats per minute, indicating a leisurely, relaxed pace often used for expressive, lyrical passages.",,,,
Allegretto,rhythm_and_meter,"A moderately fast tempo marking, slightly slower than Allegro, typically around 112-120 beats per minute, indicating a cheerful, light character.",,,,
Back Beat,rhythm_and_meter,"Emphasis on beats 2 and 4 in 4/4 time, characteristic of many popular music styles including rock, pop, and R&B. Creates a distinctive rhythmic feel.",,,,
