chord_name,chord_symbol,chord_type,root_note,chord_tones,chord_intervals,inversion_type,bass_note,chord_quality,tension_extensions,alterations,common_progressions,chord_scale_relationship,harmonic_series_ratios
C# sus2,C#sus2,sus2,Tone_C#,"Tone_C#, Tone_D#, Tone_G#","0,2,7",2,G#,suspended,none,2,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# sus4,C#sus4,sus4,Tone_C#,"Tone_C#, Tone_F#, Tone_G#","0,5,7",root,C#,suspended,none,5,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# sus4,C#sus4,sus4,Tone_C#,"Tone_C#, Tone_F#, Tone_G#","0,5,7",1,F#,suspended,none,5,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# sus4,C#sus4,sus4,Tone_C#,"Tone_C#, Tone_F#, Tone_G#","0,5,7",2,G#,suspended,none,5,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D major,DM,major,Tone_D,"Tone_D, Tone_F#, Tone_A","0,4,7",root,D,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
D major,DM,major,Tone_D,"Tone_D, Tone_F#, Tone_A","0,4,7",1,F#,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
D major,DM,major,Tone_D,"Tone_D, Tone_F#, Tone_A","0,4,7",2,A,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
D minor,Dm,minor,Tone_D,"Tone_D, Tone_F, Tone_A","0,3,7",root,D,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
D minor,Dm,minor,Tone_D,"Tone_D, Tone_F, Tone_A","0,3,7",1,F,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
D minor,Dm,minor,Tone_D,"Tone_D, Tone_F, Tone_A","0,3,7",2,A,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
D diminished,Ddim,diminished,Tone_D,"Tone_D, Tone_F, Tone_G#","0,3,6",root,D,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
D diminished,Ddim,diminished,Tone_D,"Tone_D, Tone_F, Tone_G#","0,3,6",1,F,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
D diminished,Ddim,diminished,Tone_D,"Tone_D, Tone_F, Tone_G#","0,3,6",2,G#,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
D augmented,Daug,augmented,Tone_D,"Tone_D, Tone_F#, Tone_A#","0,4,8",root,D,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D augmented,Daug,augmented,Tone_D,"Tone_D, Tone_F#, Tone_A#","0,4,8",1,F#,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D augmented,Daug,augmented,Tone_D,"Tone_D, Tone_F#, Tone_A#","0,4,8",2,A#,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D major_seventh,DM7,major_seventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C#","0,4,7,11",root,D,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
D major_seventh,DM7,major_seventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C#","0,4,7,11",1,F#,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
D major_seventh,DM7,major_seventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C#","0,4,7,11",2,A,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
D major_seventh,DM7,major_seventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C#","0,4,7,11",3,C#,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
D minor_seventh,Dm7,minor_seventh,Tone_D,"Tone_D, Tone_F, Tone_A, Tone_C","0,3,7,10",root,D,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
D minor_seventh,Dm7,minor_seventh,Tone_D,"Tone_D, Tone_F, Tone_A, Tone_C","0,3,7,10",1,F,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
D minor_seventh,Dm7,minor_seventh,Tone_D,"Tone_D, Tone_F, Tone_A, Tone_C","0,3,7,10",2,A,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
D minor_seventh,Dm7,minor_seventh,Tone_D,"Tone_D, Tone_F, Tone_A, Tone_C","0,3,7,10",3,C,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
D dominant_seventh,D7,dominant_seventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C","0,4,7,10",root,D,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
D dominant_seventh,D7,dominant_seventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C","0,4,7,10",1,F#,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
D dominant_seventh,D7,dominant_seventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C","0,4,7,10",2,A,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
D dominant_seventh,D7,dominant_seventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C","0,4,7,10",3,C,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
D diminished_seventh,Ddim7,diminished_seventh,Tone_D,"Tone_D, Tone_F, Tone_G#, Tone_B","0,3,6,9",root,D,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
D diminished_seventh,Ddim7,diminished_seventh,Tone_D,"Tone_D, Tone_F, Tone_G#, Tone_B","0,3,6,9",1,F,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
D diminished_seventh,Ddim7,diminished_seventh,Tone_D,"Tone_D, Tone_F, Tone_G#, Tone_B","0,3,6,9",2,G#,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
D diminished_seventh,Ddim7,diminished_seventh,Tone_D,"Tone_D, Tone_F, Tone_G#, Tone_B","0,3,6,9",3,B,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
D half_diminished,Dm7b5,half_diminished,Tone_D,"Tone_D, Tone_F, Tone_G#, Tone_C","0,3,6,10",root,D,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
D half_diminished,Dm7b5,half_diminished,Tone_D,"Tone_D, Tone_F, Tone_G#, Tone_C","0,3,6,10",1,F,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
D half_diminished,Dm7b5,half_diminished,Tone_D,"Tone_D, Tone_F, Tone_G#, Tone_C","0,3,6,10",2,G#,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
D half_diminished,Dm7b5,half_diminished,Tone_D,"Tone_D, Tone_F, Tone_G#, Tone_C","0,3,6,10",3,C,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
D minor_major_seventh,DmM7,minor_major_seventh,Tone_D,"Tone_D, Tone_F, Tone_A, Tone_C#","0,3,7,11",root,D,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
D minor_major_seventh,DmM7,minor_major_seventh,Tone_D,"Tone_D, Tone_F, Tone_A, Tone_C#","0,3,7,11",1,F,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
D minor_major_seventh,DmM7,minor_major_seventh,Tone_D,"Tone_D, Tone_F, Tone_A, Tone_C#","0,3,7,11",2,A,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
D minor_major_seventh,DmM7,minor_major_seventh,Tone_D,"Tone_D, Tone_F, Tone_A, Tone_C#","0,3,7,11",3,C#,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
D ninth,D9,ninth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E","0,4,7,10,14",root,D,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
D ninth,D9,ninth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E","0,4,7,10,14",1,F#,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
D ninth,D9,ninth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E","0,4,7,10,14",2,A,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
D ninth,D9,ninth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E","0,4,7,10,14",3,C,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
D ninth,D9,ninth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E","0,4,7,10,14",4,E,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
D eleventh,D11,eleventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G","0,4,7,10,14,17",root,D,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D eleventh,D11,eleventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G","0,4,7,10,14,17",1,F#,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D eleventh,D11,eleventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G","0,4,7,10,14,17",2,A,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D eleventh,D11,eleventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G","0,4,7,10,14,17",3,C,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D eleventh,D11,eleventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G","0,4,7,10,14,17",4,E,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D eleventh,D11,eleventh,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G","0,4,7,10,14,17",5,G,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D thirteenth,D13,thirteenth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,10,14,17,21",root,D,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D thirteenth,D13,thirteenth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,10,14,17,21",1,F#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D thirteenth,D13,thirteenth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,10,14,17,21",2,A,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D thirteenth,D13,thirteenth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,10,14,17,21",3,C,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D thirteenth,D13,thirteenth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,10,14,17,21",4,E,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D thirteenth,D13,thirteenth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,10,14,17,21",5,G,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D thirteenth,D13,thirteenth,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,10,14,17,21",6,B,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D add9,Dadd9,add9,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_E","0,4,7,14",root,D,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D add9,Dadd9,add9,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_E","0,4,7,14",1,F#,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D add9,Dadd9,add9,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_E","0,4,7,14",2,A,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D add9,Dadd9,add9,Tone_D,"Tone_D, Tone_F#, Tone_A, Tone_E","0,4,7,14",3,E,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D sus2,Dsus2,sus2,Tone_D,"Tone_D, Tone_E, Tone_A","0,2,7",root,D,suspended,none,2,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D sus2,Dsus2,sus2,Tone_D,"Tone_D, Tone_E, Tone_A","0,2,7",1,E,suspended,none,2,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D sus2,Dsus2,sus2,Tone_D,"Tone_D, Tone_E, Tone_A","0,2,7",2,A,suspended,none,2,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D sus4,Dsus4,sus4,Tone_D,"Tone_D, Tone_G, Tone_A","0,5,7",root,D,suspended,none,5,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D sus4,Dsus4,sus4,Tone_D,"Tone_D, Tone_G, Tone_A","0,5,7",1,G,suspended,none,5,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D sus4,Dsus4,sus4,Tone_D,"Tone_D, Tone_G, Tone_A","0,5,7",2,A,suspended,none,5,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D# major,D#M,major,Tone_D#,"Tone_D#, Tone_G, Tone_A#","0,4,7",root,D#,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
D# major,D#M,major,Tone_D#,"Tone_D#, Tone_G, Tone_A#","0,4,7",1,G,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
D# major,D#M,major,Tone_D#,"Tone_D#, Tone_G, Tone_A#","0,4,7",2,A#,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
D# minor,D#m,minor,Tone_D#,"Tone_D#, Tone_F#, Tone_A#","0,3,7",root,D#,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
D# minor,D#m,minor,Tone_D#,"Tone_D#, Tone_F#, Tone_A#","0,3,7",1,F#,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
D# minor,D#m,minor,Tone_D#,"Tone_D#, Tone_F#, Tone_A#","0,3,7",2,A#,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
D# diminished,D#dim,diminished,Tone_D#,"Tone_D#, Tone_F#, Tone_A","0,3,6",root,D#,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
D# diminished,D#dim,diminished,Tone_D#,"Tone_D#, Tone_F#, Tone_A","0,3,6",1,F#,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
D# diminished,D#dim,diminished,Tone_D#,"Tone_D#, Tone_F#, Tone_A","0,3,6",2,A,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
D# augmented,D#aug,augmented,Tone_D#,"Tone_D#, Tone_G, Tone_B","0,4,8",root,D#,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D# augmented,D#aug,augmented,Tone_D#,"Tone_D#, Tone_G, Tone_B","0,4,8",1,G,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D# augmented,D#aug,augmented,Tone_D#,"Tone_D#, Tone_G, Tone_B","0,4,8",2,B,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D# major_seventh,D#M7,major_seventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_D","0,4,7,11",root,D#,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
D# major_seventh,D#M7,major_seventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_D","0,4,7,11",1,G,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
D# major_seventh,D#M7,major_seventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_D","0,4,7,11",2,A#,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
D# major_seventh,D#M7,major_seventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_D","0,4,7,11",3,D,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
D# minor_seventh,D#m7,minor_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A#, Tone_C#","0,3,7,10",root,D#,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
D# minor_seventh,D#m7,minor_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A#, Tone_C#","0,3,7,10",1,F#,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
D# minor_seventh,D#m7,minor_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A#, Tone_C#","0,3,7,10",2,A#,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
D# minor_seventh,D#m7,minor_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A#, Tone_C#","0,3,7,10",3,C#,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
D# dominant_seventh,D#7,dominant_seventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#","0,4,7,10",root,D#,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
D# dominant_seventh,D#7,dominant_seventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#","0,4,7,10",1,G,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
D# dominant_seventh,D#7,dominant_seventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#","0,4,7,10",2,A#,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
D# dominant_seventh,D#7,dominant_seventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#","0,4,7,10",3,C#,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
D# diminished_seventh,D#dim7,diminished_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A, Tone_C","0,3,6,9",root,D#,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
D# diminished_seventh,D#dim7,diminished_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A, Tone_C","0,3,6,9",1,F#,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
D# diminished_seventh,D#dim7,diminished_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A, Tone_C","0,3,6,9",2,A,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
D# diminished_seventh,D#dim7,diminished_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A, Tone_C","0,3,6,9",3,C,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
D# half_diminished,D#m7b5,half_diminished,Tone_D#,"Tone_D#, Tone_F#, Tone_A, Tone_C#","0,3,6,10",root,D#,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
D# half_diminished,D#m7b5,half_diminished,Tone_D#,"Tone_D#, Tone_F#, Tone_A, Tone_C#","0,3,6,10",1,F#,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
D# half_diminished,D#m7b5,half_diminished,Tone_D#,"Tone_D#, Tone_F#, Tone_A, Tone_C#","0,3,6,10",2,A,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
D# half_diminished,D#m7b5,half_diminished,Tone_D#,"Tone_D#, Tone_F#, Tone_A, Tone_C#","0,3,6,10",3,C#,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
D# minor_major_seventh,D#mM7,minor_major_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A#, Tone_D","0,3,7,11",root,D#,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
D# minor_major_seventh,D#mM7,minor_major_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A#, Tone_D","0,3,7,11",1,F#,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
D# minor_major_seventh,D#mM7,minor_major_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A#, Tone_D","0,3,7,11",2,A#,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
D# minor_major_seventh,D#mM7,minor_major_seventh,Tone_D#,"Tone_D#, Tone_F#, Tone_A#, Tone_D","0,3,7,11",3,D,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
D# ninth,D#9,ninth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F","0,4,7,10,14",root,D#,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
D# ninth,D#9,ninth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F","0,4,7,10,14",1,G,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
D# ninth,D#9,ninth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F","0,4,7,10,14",2,A#,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
D# ninth,D#9,ninth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F","0,4,7,10,14",3,C#,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
D# ninth,D#9,ninth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F","0,4,7,10,14",4,F,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
D# eleventh,D#11,eleventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#","0,4,7,10,14,17",root,D#,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D# eleventh,D#11,eleventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#","0,4,7,10,14,17",1,G,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D# eleventh,D#11,eleventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#","0,4,7,10,14,17",2,A#,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D# eleventh,D#11,eleventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#","0,4,7,10,14,17",3,C#,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D# eleventh,D#11,eleventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#","0,4,7,10,14,17",4,F,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D# eleventh,D#11,eleventh,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#","0,4,7,10,14,17",5,G#,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
D# thirteenth,D#13,thirteenth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,10,14,17,21",root,D#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D# thirteenth,D#13,thirteenth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,10,14,17,21",1,G,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D# thirteenth,D#13,thirteenth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,10,14,17,21",2,A#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D# thirteenth,D#13,thirteenth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,10,14,17,21",3,C#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D# thirteenth,D#13,thirteenth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,10,14,17,21",4,F,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D# thirteenth,D#13,thirteenth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,10,14,17,21",5,G#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D# thirteenth,D#13,thirteenth,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,10,14,17,21",6,C,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
D# add9,D#add9,add9,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_F","0,4,7,14",root,D#,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D# add9,D#add9,add9,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_F","0,4,7,14",1,G,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
D# add9,D#add9,add9,Tone_D#,"Tone_D#, Tone_G, Tone_A#, Tone_F","0,4,7,14",2,A#,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
