lower_note,upper_note,interval_name,semitones,frequency_ratio,cents,harmonic_series_position,consonance_level,interval_class,compound_interval,enharmonic_spellings,beat_frequency_hz_440,beat_frequency_hz_432,lower_freq_hz_440,upper_freq_hz_440,lower_freq_hz_432,upper_freq_hz_432,resolution_vectors,functional_tendencies,modern_applications,constructive_interference_ratio,destructive_interference_ratio,interference_pattern_type,phase_relationship_degrees,roughness_index
F#1/Gb1,A1,minor third,3,6:5,300,none,consonant,m3,simple,minor third,8.75,8.59,46.25,55.0,45.40909090909090,54.0,stable|expand_to_fifth|contract_to_unison,tonic_triad_member|subdominant_approach,modal_color_tone|add9_chord_component|polychord_element,0.9024,0.0107,moderate_beating,270.0,0.2917
F#1/Gb1,B1,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,15.49,15.21,46.25,61.74,45.40909090909090,60.61745454545460,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9844,0.0016,consonant_fast_beating,176.4,0.1549
F#1/Gb1,C2,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,19.16,18.81,46.25,65.41,45.40909090909090,64.22072727272730,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.5527,0.0749,fast_beating,57.6,0.6387
F#1/Gb1,D2,minor sixth,8,8:5,800,none,mild dissonant,m6,simple,minor sixth/augmented fifth,27.17,26.68,46.25,73.42,45.40909090909090,72.08509090909090,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth,submediant_approach|deceptive_resolution,dorian_characteristic|add6_color|chromatic_mediant,0.5334,0.0804,fast_beating,61.2,0.9057
F#1/Gb1,E2,minor seventh,10,16:9,1000,none,dissonant,m7,simple,minor seventh,36.16,35.5,46.25,82.41,45.40909090909090,80.91163636363640,resolution_down_to_sixth|resolution_up_to_octave|suspension_character,dominant_seventh_dissonance|modal_mixture,modal_frame|min7_chord_color|blues_harmony_foundation,0.3143,0.1791,roughness,57.6,0.692
F#1/Gb1,F2,major seventh,11,15:8,1100,15th harmonic,dissonant,M7,simple,major seventh/diminished octave,41.06,40.31,46.25,87.31,45.40909090909090,85.72254545454550,resolution_up_to_octave|chromatic_approach|half_step_tension,leading_tone_function|dominant_preparation,maj7_chord_color|chromatic_harmony|impressionist_dissonance,0.4712,0.1009,roughness,21.6,0.447
F#1/Gb1,G2,minor ninth,13,32:15,1300,none,dissonant,m9,compound,minor second + octave,51.75,50.81,46.25,98.0,45.40909090909090,96.21818181818180,up_half_step|down_half_step|chromatic_voice_exchange|compound_spacing|register_displacement,leading_tone_resolution|neighbor_tone|extended_harmony,cluster_harmony|semitone_displacement|chromatic_saturation|jazz_extensions|contemporary_color,0.4568,0.1063,roughness,270.0,0.9825
F#1/Gb1,A2,minor tenth,15,12:5,1500,none,consonant,m10,compound,minor third + octave,63.75,62.59,46.25,110.0,45.40909090909090,108.0,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,tonic_triad_member|subdominant_approach|extended_harmony,modal_color_tone|add9_chord_component|polychord_element|jazz_extensions|contemporary_color,0.209,0.2745,roughness,270.0,0.8625
F#1/Gb1,B2,perfect eleventh,17,8:3,1700,4th harmonic,consonant,P11,compound,perfect fourth + octave,77.22,75.82,46.25,123.47,45.40909090909090,121.22509090909100,stable|suspension_down_to_third|quartal_voice_leading|compound_spacing|register_displacement,suspension_preparation|plagal_motion|extended_harmony,quartal_harmony_foundation|sus4_color|modal_frame|jazz_extensions|contemporary_color,0.1299,0.4011,roughness,79.2,0.7278
F#1/Gb1,C3,augmented eleventh,18,45:16,1800,none,dissonant,A11,compound,tritone + octave,84.56,83.02,46.25,130.81,45.40909090909090,128.43163636363600,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts|compound_spacing|register_displacement,dominant_seventh_tension|diminished_chord_core|extended_harmony,symmetric_scale_anchor|french_sixth_color|whole_tone_element|jazz_extensions|contemporary_color,0.1077,0.4531,roughness,201.6,0.6544
F#1/Gb1,D3,minor thirteenth,20,8:5,2000,none,mild dissonant,m13,compound,minor sixth + octave,100.58,98.75,46.25,146.83,45.40909090909090,144.16036363636400,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth|compound_spacing|register_displacement,submediant_approach|deceptive_resolution|extended_harmony,dorian_characteristic|add6_color|chromatic_mediant|jazz_extensions|contemporary_color,0.0784,0.5402,separate_tones,208.8,0.4942
F#1/Gb1,E3,minor fourteenth,22,16:9,2200,none,dissonant,m14,compound,minor seventh + octave,118.56,116.4,46.25,164.81,45.40909090909090,161.81345454545500,resolution_down_to_sixth|resolution_up_to_octave|suspension_character|compound_spacing|register_displacement,dominant_seventh_dissonance|modal_mixture|extended_harmony,modal_frame|min7_chord_color|blues_harmony_foundation|jazz_extensions|contemporary_color,0.0601,0.6099,separate_tones,201.6,0.3144
F#1/Gb1,F3,major fourteenth,23,15:4,2300,15th harmonic,dissonant,M14,compound,major seventh + octave,128.36,126.03,46.25,174.61,45.40909090909090,171.43527272727300,resolution_up_to_octave|chromatic_approach|half_step_tension|compound_spacing|register_displacement,leading_tone_function|dominant_preparation|extended_harmony,maj7_chord_color|chromatic_harmony|impressionist_dissonance|jazz_extensions|contemporary_color,0.0533,0.6397,separate_tones,129.6,0.2164
G1,G#1/Ab1,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,2.91,2.86,49.0,51.91,48.10909090909090,50.966181818181800,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7603,0.0306,moderate_beating,327.6,0.097
G1,A1,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,6.0,5.89,49.0,55.0,48.10909090909090,54.0,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.9751,0.0025,moderate_beating,0.0,0.2
G1,B1,major third,4,5:4,400,5th harmonic,consonant,M3,simple,major third/diminished fourth,12.74,12.51,49.0,61.74,48.10909090909090,60.61745454545460,stable|expand_to_fifth|contract_to_unison,dominant_chord_member|resolution_goal,lydian_characteristic|maj7#11_color|bitonality_anchor,0.9091,0.0099,fast_beating,266.4,0.4247
G1,C2,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,16.41,16.11,49.0,65.41,48.10909090909090,64.22072727272730,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9846,0.0016,consonant_fast_beating,147.6,0.1641
G1,D2,perfect fifth,7,3:2,700,3rd harmonic,consonant,P5,simple,perfect fifth,24.42,23.98,49.0,73.42,48.10909090909090,72.08509090909090,stable|power_interval|open_voicing_foundation,tonic_stability|dominant_generator,quartal_extension|power_chord_core|modal_drone,0.9839,0.0016,consonant_fast_beating,151.2,0.2442
G1,E2,major sixth,9,5:3,900,none,mild dissonant,M6,simple,major sixth,33.41,32.8,49.0,82.41,48.10909090909090,80.91163636363640,expand_to_octave|contract_to_fifth|leading_tone_preparation,submediant_function|deceptive_cadence,lydian_extension|maj13_color|neapolitan_preparation,0.3548,0.1539,roughness,147.6,0.8295
G1,F2,minor seventh,10,16:9,1000,none,dissonant,m7,simple,minor seventh,38.31,37.61,49.0,87.31,48.10909090909090,85.72254545454550,resolution_down_to_sixth|resolution_up_to_octave|suspension_character,dominant_seventh_dissonance|modal_mixture,modal_frame|min7_chord_color|blues_harmony_foundation,0.3143,0.1791,roughness,111.6,0.5845
G1,G2,perfect octave,12,2:1,1200,2nd harmonic,consonant,P8,simple,perfect octave,49.0,48.11,49.0,98.0,48.10909090909090,96.21818181818180,stable|register_doubling|harmonic_reinforcement,tonic_reinforcement|structural_support,octave_displacement|register_transfer|harmonic_series_anchor,1.0,0.0,consonant_roughness,0.0,0.015
G1,A2,major ninth,14,9:4,1400,9th harmonic,mild dissonant,M9,compound,major second + octave,61.0,59.89,49.0,110.0,48.10909090909090,108.0,step_resolution_both_directions|leap_to_consonance|compound_spacing|register_displacement,passing_tone|suspension_resolution|extended_harmony,quartal_harmony|secunda_harmony|tone_cluster_component|jazz_extensions|contemporary_color,0.2899,0.1967,roughness,0.0,0.89
G1,B2,major tenth,16,5:2,1600,5th harmonic,consonant,M10,compound,major third + octave,74.47,73.12,49.0,123.47,48.10909090909090,121.22509090909100,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,dominant_chord_member|resolution_goal|extended_harmony,lydian_characteristic|maj7#11_color|bitonality_anchor|jazz_extensions|contemporary_color,0.1613,0.342,roughness,169.2,0.7553
G1,C3,perfect eleventh,17,8:3,1700,4th harmonic,consonant,P11,compound,perfect fourth + octave,81.81,80.32,49.0,130.81,48.10909090909090,128.43163636363600,stable|suspension_down_to_third|quartal_voice_leading|compound_spacing|register_displacement,suspension_preparation|plagal_motion|extended_harmony,quartal_harmony_foundation|sus4_color|modal_frame|jazz_extensions|contemporary_color,0.1299,0.4011,roughness,291.6,0.6819
G1,D3,perfect twelfth,19,3:1,1900,3rd harmonic,consonant,P12,compound,perfect fifth + octave,97.83,96.05,49.0,146.83,48.10909090909090,144.16036363636400,stable|power_interval|open_voicing_foundation|compound_spacing|register_displacement,tonic_stability|dominant_generator|extended_harmony,quartal_extension|power_chord_core|modal_drone|jazz_extensions|contemporary_color,0.0912,0.4991,roughness,298.8,0.5217
G1,E3,major thirteenth,21,5:3,2100,none,mild dissonant,M13,compound,major sixth + octave,115.81,113.7,49.0,164.81,48.10909090909090,161.81345454545500,expand_to_octave|contract_to_fifth|leading_tone_preparation|compound_spacing|register_displacement,submediant_function|deceptive_cadence|extended_harmony,lydian_extension|maj13_color|neapolitan_preparation|jazz_extensions|contemporary_color,0.0683,0.5769,separate_tones,291.6,0.3419
G1,F3,minor fourteenth,22,16:9,2200,none,dissonant,m14,compound,minor seventh + octave,125.61,123.33,49.0,174.61,48.10909090909090,171.43527272727300,resolution_down_to_sixth|resolution_up_to_octave|suspension_character|compound_spacing|register_displacement,dominant_seventh_dissonance|modal_mixture|extended_harmony,modal_frame|min7_chord_color|blues_harmony_foundation|jazz_extensions|contemporary_color,0.0601,0.6099,separate_tones,219.6,0.2439
G1,G3,perfect fifteenth,24,4:1,2400,2nd harmonic,consonant,P15,compound,double octave,147.0,144.33,49.0,196.0,48.10909090909090,192.43636363636400,stable|register_doubling|harmonic_reinforcement|compound_spacing|register_displacement,tonic_reinforcement|structural_support|extended_harmony,octave_displacement|register_transfer|harmonic_series_anchor|jazz_extensions|contemporary_color,0.0476,0.6667,separate_tones,0.0,0.1
G#1/Ab1,A1,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,3.09,3.03,51.91,55.0,50.966181818181800,54.0,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7611,0.0304,moderate_beating,32.4,0.103
G#1/Ab1,B1,minor third,3,6:5,300,none,consonant,m3,simple,minor third,9.83,9.65,51.91,61.74,50.966181818181800,60.61745454545460,stable|expand_to_fifth|contract_to_unison,tonic_triad_member|subdominant_approach,modal_color_tone|add9_chord_component|polychord_element,0.9039,0.0105,moderate_beating,298.8,0.3277
G#1/Ab1,C2,major third,4,5:4,400,5th harmonic,consonant,M3,simple,major third/diminished fourth,13.5,13.25,51.91,65.41,50.966181818181800,64.22072727272730,stable|expand_to_fifth|contract_to_unison,dominant_chord_member|resolution_goal,lydian_characteristic|maj7#11_color|bitonality_anchor,0.9085,0.01,fast_beating,180.0,0.45
G#1/Ab1,D2,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,21.51,21.12,51.91,73.42,50.966181818181800,72.08509090909090,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.5524,0.075,fast_beating,183.6,0.717
G#1/Ab1,E2,minor sixth,8,8:5,800,none,mild dissonant,m6,simple,minor sixth/augmented fifth,30.5,29.95,51.91,82.41,50.966181818181800,80.91163636363640,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth,submediant_approach|deceptive_resolution,dorian_characteristic|add6_color|chromatic_mediant,0.5332,0.0805,roughness,180.0,0.975
G#1/Ab1,F2,major sixth,9,5:3,900,none,mild dissonant,M6,simple,major sixth,35.4,34.76,51.91,87.31,50.966181818181800,85.72254545454550,expand_to_octave|contract_to_fifth|leading_tone_preparation,submediant_function|deceptive_cadence,lydian_extension|maj13_color|neapolitan_preparation,0.3547,0.1539,roughness,144.0,0.73
G#1/Ab1,G2,major seventh,11,15:8,1100,15th harmonic,dissonant,M7,simple,major seventh/diminished octave,46.09,45.25,51.91,98.0,50.966181818181800,96.21818181818180,resolution_up_to_octave|chromatic_approach|half_step_tension,leading_tone_function|dominant_preparation,maj7_chord_color|chromatic_harmony|impressionist_dissonance,0.4714,0.1008,roughness,32.4,0.1955
G#1/Ab1,A2,minor ninth,13,32:15,1300,none,dissonant,m9,compound,minor second + octave,58.09,57.03,51.91,110.0,50.966181818181800,108.0,up_half_step|down_half_step|chromatic_voice_exchange|compound_spacing|register_displacement,leading_tone_resolution|neighbor_tone|extended_harmony,cluster_harmony|semitone_displacement|chromatic_saturation|jazz_extensions|contemporary_color,0.4565,0.1064,roughness,32.4,0.9191
G#1/Ab1,B2,minor tenth,15,12:5,1500,none,consonant,m10,compound,minor third + octave,71.56,70.26,51.91,123.47,50.966181818181800,121.22509090909100,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,tonic_triad_member|subdominant_approach|extended_harmony,modal_color_tone|add9_chord_component|polychord_element|jazz_extensions|contemporary_color,0.209,0.2746,roughness,201.6,0.7844
G#1/Ab1,C3,major tenth,16,5:2,1600,5th harmonic,consonant,M10,compound,major third + octave,78.9,77.47,51.91,130.81,50.966181818181800,128.43163636363600,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,dominant_chord_member|resolution_goal|extended_harmony,lydian_characteristic|maj7#11_color|bitonality_anchor|jazz_extensions|contemporary_color,0.1613,0.3421,roughness,324.0,0.711
G#1/Ab1,D3,augmented eleventh,18,45:16,1800,none,dissonant,A11,compound,tritone + octave,94.92,93.19,51.91,146.83,50.966181818181800,144.16036363636400,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts|compound_spacing|register_displacement,dominant_seventh_tension|diminished_chord_core|extended_harmony,symmetric_scale_anchor|french_sixth_color|whole_tone_element|jazz_extensions|contemporary_color,0.1077,0.4531,roughness,331.2,0.5508
G#1/Ab1,E3,minor thirteenth,20,8:5,2000,none,mild dissonant,m13,compound,minor sixth + octave,112.9,110.85,51.91,164.81,50.966181818181800,161.81345454545500,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth|compound_spacing|register_displacement,submediant_approach|deceptive_resolution|extended_harmony,dorian_characteristic|add6_color|chromatic_mediant|jazz_extensions|contemporary_color,0.0784,0.5402,separate_tones,324.0,0.371
G#1/Ab1,F3,major thirteenth,21,5:3,2100,none,mild dissonant,M13,compound,major sixth + octave,122.7,120.47,51.91,174.61,50.966181818181800,171.43527272727300,expand_to_octave|contract_to_fifth|leading_tone_preparation|compound_spacing|register_displacement,submediant_function|deceptive_cadence|extended_harmony,lydian_extension|maj13_color|neapolitan_preparation|jazz_extensions|contemporary_color,0.0683,0.5769,separate_tones,252.0,0.273
G#1/Ab1,G3,major fourteenth,23,15:4,2300,15th harmonic,dissonant,M14,compound,major seventh + octave,144.09,141.47,51.91,196.0,50.966181818181800,192.43636363636400,resolution_up_to_octave|chromatic_approach|half_step_tension|compound_spacing|register_displacement,leading_tone_function|dominant_preparation|extended_harmony,maj7_chord_color|chromatic_harmony|impressionist_dissonance|jazz_extensions|contemporary_color,0.0533,0.6397,separate_tones,32.4,0.1
A1,B1,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,6.74,6.62,55.0,61.74,54.0,60.61745454545460,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.976,0.0024,moderate_beating,266.4,0.2247
A1,C2,minor third,3,6:5,300,none,consonant,m3,simple,minor third,10.41,10.22,55.0,65.41,54.0,64.22072727272730,stable|expand_to_fifth|contract_to_unison,tonic_triad_member|subdominant_approach,modal_color_tone|add9_chord_component|polychord_element,0.9031,0.0106,fast_beating,147.6,0.347
A1,D2,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,18.42,18.09,55.0,73.42,54.0,72.08509090909090,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9845,0.0016,consonant_fast_beating,151.2,0.1842
A1,E2,perfect fifth,7,3:2,700,3rd harmonic,consonant,P5,simple,perfect fifth,27.41,26.91,55.0,82.41,54.0,80.91163636363640,stable|power_interval|open_voicing_foundation,tonic_stability|dominant_generator,quartal_extension|power_chord_core|modal_drone,0.9839,0.0016,consonant_fast_beating,147.6,0.2741
A1,F2,minor sixth,8,8:5,800,none,mild dissonant,m6,simple,minor sixth/augmented fifth,32.31,31.72,55.0,87.31,54.0,85.72254545454550,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth,submediant_approach|deceptive_resolution,dorian_characteristic|add6_color|chromatic_mediant,0.5335,0.0804,roughness,111.6,0.8845
A1,G2,minor seventh,10,16:9,1000,none,dissonant,m7,simple,minor seventh,43.0,42.22,55.0,98.0,54.0,96.21818181818180,resolution_down_to_sixth|resolution_up_to_octave|suspension_character,dominant_seventh_dissonance|modal_mixture,modal_frame|min7_chord_color|blues_harmony_foundation,0.3143,0.1791,roughness,0.0,0.35
A1,A2,perfect octave,12,2:1,1200,2nd harmonic,consonant,P8,simple,perfect octave,55.0,54.0,55.0,110.0,54.0,108.0,stable|register_doubling|harmonic_reinforcement,tonic_reinforcement|structural_support,octave_displacement|register_transfer|harmonic_series_anchor,1.0,0.0,consonant_roughness,0.0,0.285
A1,B2,major ninth,14,9:4,1400,9th harmonic,mild dissonant,M9,compound,major second + octave,68.47,67.23,55.0,123.47,54.0,121.22509090909100,step_resolution_both_directions|leap_to_consonance|compound_spacing|register_displacement,passing_tone|suspension_resolution|extended_harmony,quartal_harmony|secunda_harmony|tone_cluster_component|jazz_extensions|contemporary_color,0.2899,0.1967,roughness,169.2,0.8153
A1,C3,minor tenth,15,12:5,1500,none,consonant,m10,compound,minor third + octave,75.81,74.43,55.0,130.81,54.0,128.43163636363600,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,tonic_triad_member|subdominant_approach|extended_harmony,modal_color_tone|add9_chord_component|polychord_element|jazz_extensions|contemporary_color,0.209,0.2745,roughness,291.6,0.7419
A1,D3,perfect eleventh,17,8:3,1700,4th harmonic,consonant,P11,compound,perfect fourth + octave,91.83,90.16,55.0,146.83,54.0,144.16036363636400,stable|suspension_down_to_third|quartal_voice_leading|compound_spacing|register_displacement,suspension_preparation|plagal_motion|extended_harmony,quartal_harmony_foundation|sus4_color|modal_frame|jazz_extensions|contemporary_color,0.1299,0.4011,roughness,298.8,0.5817
A1,E3,perfect twelfth,19,3:1,1900,3rd harmonic,consonant,P12,compound,perfect fifth + octave,109.81,107.81,55.0,164.81,54.0,161.81345454545500,stable|power_interval|open_voicing_foundation|compound_spacing|register_displacement,tonic_stability|dominant_generator|extended_harmony,quartal_extension|power_chord_core|modal_drone|jazz_extensions|contemporary_color,0.0912,0.4991,separate_tones,291.6,0.4019
A1,F3,minor thirteenth,20,8:5,2000,none,mild dissonant,m13,compound,minor sixth + octave,119.61,117.44,55.0,174.61,54.0,171.43527272727300,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth|compound_spacing|register_displacement,submediant_approach|deceptive_resolution|extended_harmony,dorian_characteristic|add6_color|chromatic_mediant|jazz_extensions|contemporary_color,0.0784,0.5402,separate_tones,219.6,0.3039
A1,G3,minor fourteenth,22,16:9,2200,none,dissonant,m14,compound,minor seventh + octave,141.0,138.44,55.0,196.0,54.0,192.43636363636400,resolution_down_to_sixth|resolution_up_to_octave|suspension_character|compound_spacing|register_displacement,dominant_seventh_dissonance|modal_mixture|extended_harmony,modal_frame|min7_chord_color|blues_harmony_foundation|jazz_extensions|contemporary_color,0.0601,0.6099,separate_tones,0.0,0.1
A1,A3,perfect fifteenth,24,4:1,2400,2nd harmonic,consonant,P15,compound,double octave,165.0,162.0,55.0,220.0,54.0,216.0,stable|register_doubling|harmonic_reinforcement|compound_spacing|register_displacement,tonic_reinforcement|structural_support|extended_harmony,octave_displacement|register_transfer|harmonic_series_anchor|jazz_extensions|contemporary_color,0.0476,0.6667,separate_tones,0.0,0.1
A#1/Bb1,B1,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,3.47,3.41,58.27,61.74,57.21054545454550,60.61745454545460,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7613,0.0304,moderate_beating,169.2,0.1157
A#1/Bb1,C2,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,7.14,7.01,58.27,65.41,57.21054545454550,64.22072727272730,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.9759,0.0025,moderate_beating,50.4,0.238
A#1/Bb1,D2,major third,4,5:4,400,5th harmonic,consonant,M3,simple,major third/diminished fourth,15.15,14.87,58.27,73.42,57.21054545454550,72.08509090909090,stable|expand_to_fifth|contract_to_unison,dominant_chord_member|resolution_goal,lydian_characteristic|maj7#11_color|bitonality_anchor,0.9091,0.0099,consonant_fast_beating,54.0,0.1515
A#1/Bb1,E2,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,24.14,23.7,58.27,82.41,57.21054545454550,80.91163636363640,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.5527,0.0749,fast_beating,50.4,0.8047
A#1/Bb1,F2,perfect fifth,7,3:2,700,3rd harmonic,consonant,P5,simple,perfect fifth,29.04,28.51,58.27,87.31,57.21054545454550,85.72254545454550,stable|power_interval|open_voicing_foundation,tonic_stability|dominant_generator,quartal_extension|power_chord_core|modal_drone,0.984,0.0016,consonant_fast_beating,14.4,0.2904
A#1/Bb1,G2,major sixth,9,5:3,900,none,mild dissonant,M6,simple,major sixth,39.73,39.01,58.27,98.0,57.21054545454550,96.21818181818180,expand_to_octave|contract_to_fifth|leading_tone_preparation,submediant_function|deceptive_cadence,lydian_extension|maj13_color|neapolitan_preparation,0.3548,0.1539,roughness,262.8,0.5135
A#1/Bb1,A2,major seventh,11,15:8,1100,15th harmonic,dissonant,M7,simple,major seventh/diminished octave,51.73,50.79,58.27,110.0,57.21054545454550,108.0,resolution_up_to_octave|chromatic_approach|half_step_tension,leading_tone_function|dominant_preparation,maj7_chord_color|chromatic_harmony|impressionist_dissonance,0.4712,0.1009,roughness,262.8,0.9827
A#1/Bb1,B2,minor ninth,13,32:15,1300,none,dissonant,m9,compound,minor second + octave,65.2,64.01,58.27,123.47,57.21054545454550,121.22509090909100,up_half_step|down_half_step|chromatic_voice_exchange|compound_spacing|register_displacement,leading_tone_resolution|neighbor_tone|extended_harmony,cluster_harmony|semitone_displacement|chromatic_saturation|jazz_extensions|contemporary_color,0.4568,0.1063,roughness,72.0,0.848
A#1/Bb1,C3,major ninth,14,9:4,1400,9th harmonic,mild dissonant,M9,compound,major second + octave,72.54,71.22,58.27,130.81,57.21054545454550,128.43163636363600,step_resolution_both_directions|leap_to_consonance|compound_spacing|register_displacement,passing_tone|suspension_resolution|extended_harmony,quartal_harmony|secunda_harmony|tone_cluster_component|jazz_extensions|contemporary_color,0.2899,0.1967,roughness,194.4,0.7746
A#1/Bb1,D3,major tenth,16,5:2,1600,5th harmonic,consonant,M10,compound,major third + octave,88.56,86.95,58.27,146.83,57.21054545454550,144.16036363636400,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,dominant_chord_member|resolution_goal|extended_harmony,lydian_characteristic|maj7#11_color|bitonality_anchor|jazz_extensions|contemporary_color,0.1613,0.342,roughness,201.6,0.6144
A#1/Bb1,E3,augmented eleventh,18,45:16,1800,none,dissonant,A11,compound,tritone + octave,106.54,104.6,58.27,164.81,57.21054545454550,161.81345454545500,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts|compound_spacing|register_displacement,dominant_seventh_tension|diminished_chord_core|extended_harmony,symmetric_scale_anchor|french_sixth_color|whole_tone_element|jazz_extensions|contemporary_color,0.1077,0.4531,separate_tones,194.4,0.4346
A#1/Bb1,F3,perfect twelfth,19,3:1,1900,3rd harmonic,consonant,P12,compound,perfect fifth + octave,116.34,114.22,58.27,174.61,57.21054545454550,171.43527272727300,stable|power_interval|open_voicing_foundation|compound_spacing|register_displacement,tonic_stability|dominant_generator|extended_harmony,quartal_extension|power_chord_core|modal_drone|jazz_extensions|contemporary_color,0.0912,0.4991,separate_tones,122.4,0.3366
A#1/Bb1,G3,major thirteenth,21,5:3,2100,none,mild dissonant,M13,compound,major sixth + octave,137.73,135.23,58.27,196.0,57.21054545454550,192.43636363636400,expand_to_octave|contract_to_fifth|leading_tone_preparation|compound_spacing|register_displacement,submediant_function|deceptive_cadence|extended_harmony,lydian_extension|maj13_color|neapolitan_preparation|jazz_extensions|contemporary_color,0.0683,0.5769,separate_tones,262.8,0.1227
A#1/Bb1,A3,major fourteenth,23,15:4,2300,15th harmonic,dissonant,M14,compound,major seventh + octave,161.73,158.79,58.27,220.0,57.21054545454550,216.0,resolution_up_to_octave|chromatic_approach|half_step_tension|compound_spacing|register_displacement,leading_tone_function|dominant_preparation|extended_harmony,maj7_chord_color|chromatic_harmony|impressionist_dissonance|jazz_extensions|contemporary_color,0.0533,0.6397,separate_tones,262.8,0.1
B1,C2,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,3.67,3.6,61.74,65.41,60.61745454545460,64.22072727272730,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7607,0.0305,moderate_beating,241.2,0.1223
B1,D2,minor third,3,6:5,300,none,consonant,m3,simple,minor third,11.68,11.47,61.74,73.42,60.61745454545460,72.08509090909090,stable|expand_to_fifth|contract_to_unison,tonic_triad_member|subdominant_approach,modal_color_tone|add9_chord_component|polychord_element,0.9024,0.0107,fast_beating,244.8,0.3893
B1,E2,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,20.67,20.29,61.74,82.41,60.61745454545460,80.91163636363640,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9856,0.0015,consonant_fast_beating,241.2,0.2067
B1,F2,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,25.57,25.11,61.74,87.31,60.61745454545460,85.72254545454550,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.553,0.0748,fast_beating,205.2,0.8523
